Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2002-01-20,2002-02-20,2002-03-20,2002-04-20,2002-05-20,2002-06-20,2002-07-20,2002-08-20,2002-09-20,2002-10-20,2002-11-20,2002-12-20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2003-01-20,2003-02-20,2003-03-20,2003-04-20,2003-05-20,2003-06-20,2003-07-20,2003-08-20,2003-09-20,2003-10-20,2003-11-20,2003-12-20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,2004-01-20,2004-02-20,2004-03-20,2004-04-20,2004-05-20,2004-06-20,2004-07-20,2004-08-20,2004-09-20,2004-10-20,2004-11-20,2004-12-20,4/13/20,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21,2010-01-21,2010-02-21,2010-03-21,2010-04-21,2010-05-21,2010-06-21,2010-07-21,2010-08-21,2010-09-21,2010-10-21,2010-11-21,2010-12-21,10/13/21,10/14/21,10/15/21,10/16/21,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,2011-01-21,2011-02-21,2011-03-21,2011-04-21,2011-05-21,2011-06-21,2011-07-21,2011-08-21,2011-09-21,2011-10-21,2011-11-21,2011-12-21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21/21,11/22/21,11/23/21,11/24/21,11/25/21,11/26/21,11/27/21,11/28/21,11/29/21,11/30/21,2012-01-21,2012-02-21,2012-03-21,2012-04-21,2012-05-21,2012-06-21,2012-07-21,2012-08-21,2012-09-21,2012-10-21,2012-11-21,2012-12-21,12/13/21,12/14/21,12/15/21,12/16/21,12/17/21,12/18/21
,Greece,39.0742,21.8243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,7,7,7,9,31,45,46,73,73,89,99,99,190,228,331,331,387,418,418,495,530,624,695,743,835,835,835,835,1156,1156,1156,1156,1156,1613,1673,1735,1755,1832,1884,1955,2009,2081,2081,2145,616765,620355,622761,625083,627314,629498,630784,632908,636596,638921,641022,643055,644869,645969,648091,651378,653535,655767,658368,660166,661308,663433,666517,668811,671040,673317,675479,676799,679157,682394,684706,687278,689896,692197,693886,697033,700959,704211,707587,711128,714283,716358,720295,724571,728210,731167,734778,739448,742170,747595,754451,760592,767376,774265,780621,784904,792239,801208,808297,815068,821900,828032,831874,838824,847188,853841,861117,868868,874812,878920,886207,894555,901661,908222,914824,920683,924506,931183,938903,945095,951351,957552,962695,966221,971148,978402,984301,989814,994901,999652,1002877,1006706,1012659,1017445,1022141,1026902,1031239
,Grenada,12.1165,-61.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,7,9,9,9,9,10,12,12,12,12,12,12,12,14,14,14,14,2386,2646,2740,3262,3490,3490,3841,4077,4356,4356,4638,4766,4766,4922,5005,5039,5039,5195,5236,5294,5351,5434,5484,5531,5554,5554,5619,5619,5653,5653,5670,5704,5721,5734,5746,5769,5776,5790,5795,5809,5815,5817,5817,5824,5830,5834,5839,5840,5840,5850,5850,5850,5857,5857,5861,5861,5863,5863,5863,5863,5863,5863,5863,5865,5865,5865,5865,5866,5866,5873,5876,5878,5880,5880,5884,5888,5888,5888,5897,5898,5900,5900,5907,5908,5909,5909,5910,5910,5913,5913,5915,5915,5915,5915,5915,5919,5919
,Guatemala,15.7835,-90.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,6,9,12,17,19,20,21,24,25,28,34,34,36,38,39,47,50,61,61,70,77,87,95,126,137,155,156,511457,515756,519986,521093,525161,528588,529422,530026,533744,537987,542024,545796,548604,549560,550333,553289,557244,560315,563257,565566,566250,566636,569440,572103,574713,576818,578809,579489,579774,581498,583201,584613,586318,587687,588069,588262,589986,591460,591767,593459,594665,595008,595067,596417,597768,599042,600419,601402,601572,601657,601793,602575,603641,604586,605415,605664,605749,606743,607497,608307,609136,609729,610004,610034,610591,611374,611374,613014,613713,613892,613950,614910,615725,616554,617037,617495,617610,617621,617984,618436,618727,619040,619542,619852,619891,620435,620853,621328,621844,622168,622229,622237,622525,622866,623195,623449,623662
,Guinea,9.9456,-9.6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,16,22,22,30,52,73,111,121,128,144,164,194,212,250,250,319,30047,30085,30085,30136,30136,30136,30136,30271,30303,30303,30318,30343,30348,30362,30364,30382,30392,30411,30420,30434,30434,30445,30452,30452,30479,30501,30501,30501,30523,30526,30535,30560,30572,30572,30572,30572,30599,30605,30605,30626,30626,30626,30642,30645,30647,30653,30653,30653,30653,30667,30672,30681,30681,30681,30681,30681,30709,30709,30709,30715,30715,30715,30715,30715,30715,30715,30715,30715,30715,30715,30747,30747,30751,30751,30757,30763,30763,30770,30770,30770,30770,30770,30770,30770,30770,30798,30798,30798,30798,30798,30798,30798,30814,30814,30814,30814,30814
,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8,9,9,15,18,18,18,33,33,36,36,38,38,38,6022,6031,6042,6053,6069,6078,6080,6080,6087,6093,6094,6099,6099,6099,6099,6103,6103,6107,6110,6110,6112,6112,6112,6112,6115,6115,6117,6117,6119,6121,6123,6124,6129,6129,6130,6130,6130,6131,6131,6131,6131,6131,6131,6133,6133,6133,6133,6133,6134,6134,6134,6137,6149,6150,6150,6150,6150,6150,6203,6263,6301,6363,6402,6402,6431,6432,6434,6434,6434,6434,6434,6437,6438,6438,6439,6440,6440,6440,6440,6442,6442,6444,6444,6444,6444,6444,6445,6445,6447,6447,6448,6448,6450,6452,6455,6455,6456
,Guyana,4.860416,-58.93018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,7,7,7,7,7,19,20,5,5,5,5,8,8,8,12,19,19,23,23,24,31,33,37,37,37,45,45,45,28099,28234,28532,28831,29072,29345,29553,29683,29824,30186,30444,30696,30907,31148,31236,31359,31638,31827,32055,32297,32483,32483,32701,32951,33175,33175,33566,33696,33748,33823,33973,34132,34240,34362,34455,34514,34608,34726,34800,34877,34977,35067,35104,35170,35252,35350,35444,35548,35548,35657,35719,35800,35929,35993,36079,36079,36257,36257,36439,36533,36652,36741,36817,36872,36916,36999,37090,37184,37184,37325,37356,37445,37524,37613,37663,37707,37773,37825,37874,37951,38027,38068,38118,38160,38217,38261,38333,38402,38453,38453,38554,38554,38618,38684,38728,38751,38817
,Haiti,18.9712,-72.2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,8,8,8,8,15,15,15,16,16,18,18,21,24,25,27,30,30,31,31,21178,21271,21318,21318,21330,21330,21330,21368,21431,21431,21453,21486,21486,21486,21540,21647,21647,21647,21916,21916,21916,21972,22125,22354,22354,22354,22382,22526,22614,22675,22731,22827,22827,22933,22933,23042,23324,23406,23406,23406,23406,23406,23619,23619,23773,23823,23823,23960,23960,23960,24004,24004,24032,24073,24073,24073,24233,24233,24233,24233,24543,24543,24543,24635,24710,24710,24710,24768,24768,24768,24950,24950,24974,24974,25027,25027,25027,25175,25175,25351,25351,25463,25510,25510,25638,25638,25691,25744,25744,25744,25744,25758,25865,25879,25907,25907,25920
,Holy See,41.9029,12.4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
,Honduras,15.2,-86.2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,6,8,9,12,24,24,26,30,30,36,52,68,95,110,139,141,172,219,222,264,268,298,305,312,343,382,392,393,397,353641,353641,354970,354970,356707,357654,357654,359768,360598,361527,361527,363017,363017,363017,363106,365259,365994,365994,367275,367275,367275,368324,368654,369030,369030,369030,369030,369030,370262,370968,371431,371861,371861,372179,372179,372179,373206,373206,373589,373838,374148,374148,374148,374783,374783,375213,375213,375381,375381,375381,375877,375983,375983,376281,376281,376281,376595,376676,376676,376841,376841,376873,376967,377102,377102,377293,377293,377420,377420,377420,377527,377527,377712,377712,377859,377859,377859,377859,377859,377859,377859,378251,378251,378251,378251,378251,378251,378423,378423,378423,378423,378615,378615,378685,378685,378685,378685
,Hungary,47.1625,19.5033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,7,9,9,13,13,19,30,32,39,50,58,73,85,103,131,167,187,226,261,300,343,408,447,492,525,585,623,678,733,744,817,895,980,1190,1310,1410,1458,815605,815851,816222,816680,817159,817159,817159,818231,818520,819021,819547,820078,820078,820078,821261,821526,822072,822705,823384,823384,823384,824876,825170,825799,826636,827410,827410,827410,829456,829911,830725,831866,833115,833115,833115,836389,837248,838916,841277,843825,843825,843825,850513,852214,855339,859378,863419,863419,863419,874630,876497,879092,885360,892164,892164,892164,909998,914586,923020,931414,939784,939784,939784,960844,966167,976432,987199,998488,998488,998488,1025697,1032215,1044852,1057017,1068888,1068888,1068888,1096718,1103108,1114260,1124726,1134869,1134869,1134869,1157568,1161879,1168728,1176038,1182922,1182922,1182922,1198939,1202514,1208020,1213318,1218295,1218295
,Iceland,64.9631,-19.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,11,26,34,43,50,50,58,69,85,103,134,156,171,180,220,250,330,409,473,568,588,648,737,802,890,963,1020,1086,1135,1220,1319,1364,1417,1486,1562,1586,1616,1648,1675,1689,1701,1711,11279,11307,11338,11377,11404,11404,11404,11471,11518,11558,11594,11632,11632,11632,11722,11760,11781,11801,11839,11839,11839,11958,11990,12035,12092,12147,12147,12147,12243,12287,12342,12390,12455,12455,12455,12614,12703,12775,12827,12899,12899,12899,13142,13236,13313,13413,13492,13492,13492,13739,13829,13923,14087,14255,14255,14255,14571,14757,14935,15140,15321,15321,15321,15741,15968,16113,16243,16435,16435,16435,16800,17002,17152,17294,17446,17446,17446,17770,17894,18055,18198,18333,18333,18333,18642,18765,18896,19052,19159,19159,19159,19547,19708,19861,20044,20232,20232
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,33289579,33316755,33347325,33381728,33417390,33448163,33478419,33504534,33531498,33563421,33594803,33624419,33652745,33678786,33697581,33716451,33739980,33766707,33791061,33813903,33834702,33853048,33871881,33894312,33915569,33935309,33953475,33971607,33985920,34001743,34020730,34037592,34053573,34067719,34081315,34094373,34108996,34127450,34143236,34159562,34175468,34189774,34202202,34215653,34231809,34246157,34260470,34273300,34285814,34296237,34308140,34321025,34333754,34344683,34355509,34366987,34377113,34388579,34401670,34414186,34426036,34437307,34447536,34456401,34466598,34478517,34489623,34499925,34510413,34518901,34526480,34535763,34544882,34555431,34563749,34572523,34580832,34587822,34596776,34606541,34615757,34624360,34624360,34641561,34648383,34656822,34666241,34674643,34682633,34690510,34697860,34703644,34710628,34718602,34726049,34726049,34733194
,Indonesia,-0.7893,113.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,19,27,34,34,69,96,117,134,172,227,311,369,450,514,579,686,790,893,1046,1155,1285,1414,1528,1677,1790,1986,2092,2273,2491,2738,2956,3293,3512,3842,4241,4557,4170088,4174216,4178164,4181309,4185144,4188529,4190763,4192695,4195958,4198678,4201559,4204116,4206253,4208013,4209403,4211460,4213414,4215104,4216728,4218142,4219284,4220206,4221610,4223094,4224487,4225871,4227038,4227932,4228552,4229813,4231046,4232099,4233014,4234011,4234758,4235384,4236287,4237201,4237834,4238594,4239396,4240019,4240479,4241090,4241809,4242532,4243215,4243835,4244358,4244761,4245373,4246174,4246802,4247320,4247721,4248165,4248409,4248843,4249323,4249758,4250157,4250516,4250855,4251076,4251423,4251945,4252345,4252705,4253098,4253412,4253598,4253992,4254443,4254815,4255268,4255672,4255936,4256112,4256409,4256687,4256998,4257243,4257489,4257685,4257815,4258076,4258340,4258560,4258752,4258980,4259143,4259249,4259439,4259644,4259857,4260148,4260380
,Iran,32.427908,53.688046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,41495,44605,47593,50468,53183,55743,58226,60500,62589,64586,66220,68192,70029,71686,73303,5318327,5340656,5360387,5378408,5396013,5408860,5424835,5442232,5459796,5477229,5493591,5508885,5519728,5533520,5547990,5559691,5572962,5587040,5601565,5611700,5624128,5638735,5651961,5662458,5674083,5683980,5691634,5702890,5716394,5729785,5742083,5754047,5765904,5773419,5784815,5796659,5809967,5821737,5833525,5844589,5851670,5860844,5868360,5877456,5888100,5899509,5909402,5916211,5924638,5934495,5944599,5954962,5964824,5973457,5980260,5987814,5996155,6004460,6012408,6019947,6027269,6031575,6037718,6045212,6051642,6057893,6063775,6069559,6073098,6077438,6082865,6088009,6092822,6097672,6102056,6105101,6108882,6113192,6117445,6121757,6125596,6129199,6131356,6134465,6137821,6141335,6144644,6147872,6150843,6152524,6154813,6157519,6160303,6162954,6165454,6167650,6169011
,Iraq,33.223191,43.679291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,13,19,26,32,35,35,40,54,60,60,71,71,71,101,110,116,124,154,164,192,208,214,233,266,316,346,382,458,506,547,630,694,728,772,820,878,961,1031,1122,1202,1232,1279,1318,1352,1378,1954969,1959369,1963264,1967187,1970746,1972705,1975220,1978412,1981493,1984399,1987352,1990316,1991628,1993767,1996214,1998615,2000869,2003303,2005991,2007227,2009678,2011634,2014104,2016623,2018667,2020882,2022109,2023761,2024705,2026349,2028115,2030498,2032660,2033737,2035453,2037012,2038847,2040235,2042117,2043963,2045027,2046274,2047811,2049240,2050652,2052123,2053520,2054202,2055248,2056401,2057716,2058914,2060066,2061222,2061939,2062863,2064011,2065127,2066042,2066905,2067797,2068388,2069247,2070076,2070883,2071689,2072478,2073267,2073835,2074419,2075248,2076146,2076922,2077665,2078521,2079084,2079622,2080448,2081172,2082061,2082774,2083515,2083889,2084346,2084961,2085586,2086192,2086702,2087247,2087497,2087837,2088359,2088833,2089259,2089669,2090026,2090208
,Ireland,53.1424,-7.6921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129,169,223,292,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2910,3235,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,367536,368712,367536,371301,372687,374143,375367,376517,377937,379366,380720,381883,383218,384677,385721,387218,388665,389932,390989,392575,393626,394519,395643,396625,397831,399833,401773,403157,404514,405970,408021,409647,411554,413734,415114,416690,419087,421234,423260,425725,428152,429877,431722,433902,435526,438124,440665,443631,445594,448449,452172,455346,458370,462273,465958,469386,472547,477878,480846,484523,490001,494643,498448,503006,507413,511045,515691,518824,524783,528964,534594,538255,542146,546909,551528,556319,560054,564657,570115,573905,578064,583472,589094,594250,597161,602726,606852,610855,614952,618956,623623,628306,632177,636407,640548,644143,651476
,Israel,31.046051,34.851612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,6,6,7,12,15,15,21,37,47,56,60,88,60,81,112,138,177,251,295,371,386,628,843,1080,1249,1351,2468,2988,3421,3901,4433,4979,5717,6413,7132,7729,8157,8740,9191,9568,9906,10249,10607,10952,11504,11942,1184053,1194783,1202212,1208403,1211443,1220397,1228129,1235064,1242262,1247633,1254351,1256600,1262945,1266206,1270230,1274395,1277270,1282218,1285570,1287977,1290129,1293498,1296343,1298589,1300968,1302777,1304356,1305711,1307870,1309738,1311295,1312908,1314213,1315317,1316317,1317758,1319001,1319902,1320962,1321894,1322395,1323079,1324040,1324897,1325496,1326171,1326742,1327126,1327458,1328218,1331597,1332247,1332801,1333263,1333605,1333989,1334766,1335184,1335654,1336174,1336587,1336882,1337190,1337781,1338233,1338813,1339258,1339723,1340084,1340435,1341136,1339987,1340481,1341088,1341541,1341881,1342210,1342976,1343660,1344103,1344668,1345083,1345442,1345915,1346670,1347474,1348229,1348800,1349385,1349741,1350215,1351015,1351776,1352403,1353281,1354001,1354697
,Italy,41.87194,12.56738,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,4609205,4613214,4618040,4623155,4627699,4632275,4636111,4638516,4641890,4645853,4649906,4653696,4657215,4660314,4662087,4665049,4668261,4672355,4675758,4679067,4682034,4683646,4686109,4689341,4692274,4695291,4698038,4700316,4701832,4704318,4707087,4709753,4712482,4715464,4717899,4719493,4722188,4725887,4729678,4733557,4737462,4741185,4743720,4747773,4752368,4757231,4762563,4767440,4771965,4774783,4777614,4782802,4788704,4795465,4802225,4808047,4812594,4818705,4826738,4835435,4843957,4852496,4860061,4865260,4873075,4883242,4893887,4904441,4915981,4925688,4932091,4942135,4954585,4968341,4982022,4994891,5007818,5015790,5028547,5043620,5060430,5077445,5094072,5109082,5118576,5134318,5152264,5164780,5185270,5206305,5225517,5238221,5258886,5282076,5308180,5336795,5364852
,Jamaica,18.1096,-77.2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,10,10,12,13,15,16,16,19,19,21,26,26,26,30,32,36,36,44,47,47,53,58,58,63,63,63,63,65,69,73,76451,76987,77497,77989,78590,79127,79673,80406,80780,80959,81394,81828,82349,82778,83030,83342,83486,83737,84069,84417,84701,84914,85163,85261,85475,85680,85905,86126,86384,86456,86507,86722,86986,87232,87389,87586,87667,87723,87797,87970,88159,88259,88431,88480,88530,88666,88775,88907,89014,89123,89170,89216,89349,89466,89587,89681,89746,89788,89818,89926,90005,90149,90209,90311,90341,90370,90467,90558,90630,90705,90807,90855,90905,90961,91026,91122,91169,91222,91249,91272,91304,91369,91421,91469,91536,91554,91578,91601,91652,91725,91765,91802,91843,91868,91927,91972,92018
,Japan,36.204824,138.252924,2,2,2,2,4,4,7,7,11,15,20,20,20,22,23,23,23,24,24,26,27,28,33,43,54,60,67,79,85,95,112,137,149,160,173,192,218,236,245,259,278,298,333,365,420,466,499,527,585,640,696,733,795,826,843,893,928,968,1022,1059,1104,1144,1217,1314,1416,1530,1728,1907,2001,2255,2535,2818,3154,3525,3876,4110,4485,5020,5614,6250,6951,7473,7773,1648920,1655199,1662008,1667699,1672812,1677512,1680908,1683129,1684899,1688142,1691743,1693838,1696508,1698644,1699792,1701514,1703497,1705072,1706516,1707759,1708726,1709325,1710304,1711429,1712401,1713228,1714002,1714555,1714924,1715531,1716262,1716879,1717396,1717896,1718324,1718554,1718925,1719313,1719656,1719980,1720263,1720495,1720646,1720956,1721266,1721539,1721831,1722115,1722343,1722427,1722648,1722912,1723070,1723295,1723525,1723682,1723782,1723976,1724172,1724379,1724573,1724767,1724893,1724967,1725111,1725310,1725458,1725611,1725715,1725850,1725894,1726001,1726074,1726186,1726299,1726419,1726479,1726555,1726636,1726751,1726864,1727005,1727125,1727229,1727283,1727382,1727504,1727658,1727794,1727925,1728023,1728090,1728218,1728377,1728540,1728701,1728880
,Jordan,31.24,36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,8,17,34,52,69,85,85,112,127,154,172,212,235,246,259,268,274,278,299,310,323,345,349,353,358,372,372,381,389,391,807384,809443,810559,811463,812253,812681,813601,813601,815546,816574,817487,818358,818796,819783,820798,821840,822892,823919,824697,825245,826282,827504,828572,829888,830944,831832,832399,833471,834778,835969,837255,838523,839544,840117,841489,843204,844801,846033,846033,849000,849758,851410,853012,854758,856450,858342,859796,860818,862541,864661,866451,868493,870505,872585,873707,875804,878366,880943,883446,886042,888435,889671,889671,895564,895564,898682,905738,905738,911270,914849,919173,923722,928256,932539,936619,939293,943305,948966,953943,958990,963655,963655,971401,975956,981767,988159,993339,998492,1003428,1006136,1010033,1015289,1019691,1024032,1027844,1031549,1033469
,Kazakhstan,48.0196,66.9237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,33,35,44,49,53,61,62,72,81,111,150,228,284,302,343,380,435,464,531,584,662,697,727,781,812,865,951,1091,918208,921440,925024,928341,931458,934449,936954,939065,941793,944733,947482,950006,952385,954295,956025,958170,960578,962842,965080,967212,968975,970616,972679,974944,977027,979117,981129,982888,984398,986281,988365,990461,992488,994464,996141,997537,999374,1001369,1003262,1005130,1005130,1008555,1009918,1011656,1013503,1015439,1017181,1018841,1020264,1021452,1022944,1024449,1025990,1027434,1028928,1029986,1030911,1032244,1033639,1035051,1036373,1037638,1038719,1039671,1040924,1042184,1043456,1044635,1045783,1046722,1047495,1048550,1049637,1050700,1051696,1052622,1053427,1054091,1054972,1055779,1056517,1057315,1058105,1058758,1059309,1060125,1060923,1061645,1062279,1062833,1063410,1063809,1064365,1064992,1065538,1065597,1066534
,Kenya,-0.0236,37.9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,15,16,25,28,31,31,38,42,50,59,81,110,122,126,142,158,172,179,184,189,191,197,208,243929,244380,244826,245337,245781,246296,246530,246643,246956,247358,247675,248069,248392,248461,248515,248770,249174,249434,249725,250023,250114,250191,250380,250510,250728,250898,251057,251152,251248,251313,251483,251669,251803,251959,252033,252066,252199,252308,252375,252499,252628,252672,252688,252839,252938,253018,253151,253293,253310,253339,253409,253512,253661,253737,253813,253833,253853,253879,254057,254151,254215,254276,254297,254309,254384,254453,254541,254629,254688,254710,254728,254781,254816,254862,254904,254940,254951,254979,255088,255164,255260,255355,255408,255437,255469,255544,255652,255796,255932,256134,256335,256484,256815,257614,258557,260166,262335
,Kiribati,-3.3704,-168.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,"Korea, South",35.907757,127.766922,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8961,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,275910,277989,279930,281938,284022,285931,287536,289263,290983,292699,295132,298402,301172,303553,305842,308725,311289,313773,316020,318105,319777,321352,323379,325804,327976,329925,331519,332816,334163,335742,337679,339361,340978,342396,343445,344518,346088,347529,348969,350476,351899,353089,354355,356305,358412,360536,362639,364700,366386,367974,370640,373120,375464,377712,379935,381694,383407,385831,388351,390719,393042,395460,397466,399591,402775,406065,409099,412311,415425,418252,420950,425065,429002,432901,436968,440896,444200,447230,452350,457612,457612,467907,473034,477358,482310,489484,496584,503606,510583,517271,523088,528652,536495,544117,551551,558864,565098
